"","inlaid","blockgroup"
"1",1,"080310001021"
"2",2,"080310001022"
"3",3,"080310001023"
"4",4,"080310001024"
"5",5,"080310002011"
"6",6,"080310002012"
"7",7,"080310002021"
"8",8,"080310002022"
"9",9,"080310002023"
"10",10,"080310002024"
"11",11,"080310003011"
"12",12,"080310003012"
"13",13,"080310003013"
"14",14,"080310003014"
"15",15,"080310003015"
"16",16,"080310003016"
"17",17,"080310003021"
"18",18,"080310003022"
"19",19,"080310003023"
"20",20,"080310003024"
"21",21,"080310003025"
"22",22,"080310003031"
"23",23,"080310003032"
"24",24,"080310003033"
"25",25,"080310003034"
"26",26,"080310003035"
"27",27,"080310003036"
"28",28,"080310004011"
"29",29,"080310004012"
"30",30,"080310004013"
"31",31,"080310004014"
"32",32,"080310004031"
"33",33,"080310004032"
"34",34,"080310004033"
"35",35,"080310004034"
"36",36,"080310004041"
"37",37,"080310004042"
"38",38,"080310004043"
"39",39,"080310005011"
"40",40,"080310005012"
"41",41,"080310005013"
"42",42,"080310005031"
"43",43,"080310005032"
"44",44,"080310005041"
"45",45,"080310005042"
"46",46,"080310005043"
"47",47,"080310006001"
"48",48,"080310006002"
"49",49,"080310006003"
"50",50,"080310006004"
"51",51,"080310006005"
"52",52,"080310007031"
"53",53,"080310007032"
"54",54,"080310007041"
"55",55,"080310007042"
"56",56,"080310007051"
"57",57,"080310007052"
"58",58,"080310007053"
"59",59,"080310007061"
"60",60,"080310007062"
"61",61,"080310008001"
"62",62,"080310009021"
"63",63,"080310009022"
"64",64,"080310009023"
"65",65,"080310009024"
"66",66,"080310009025"
"67",67,"080310009031"
"68",68,"080310009032"
"69",69,"080310009033"
"70",70,"080310009034"
"71",71,"080310009035"
"72",72,"080310009041"
"73",73,"080310009042"
"74",74,"080310009043"
"75",75,"080310009044"
"76",76,"080310009051"
"77",77,"080310009052"
"78",78,"080310009053"
"79",79,"080310009054"
"80",80,"080310010001"
"81",81,"080310010002"
"82",82,"080310010003"
"83",83,"080310011011"
"84",84,"080310011012"
"85",85,"080310011013"
"86",86,"080310011014"
"87",87,"080310011021"
"88",88,"080310011022"
"89",89,"080310011023"
"90",90,"080310011024"
"91",91,"080310013011"
"92",92,"080310013012"
"93",93,"080310013013"
"94",94,"080310013014"
"95",95,"080310013015"
"96",96,"080310013021"
"97",97,"080310013022"
"98",98,"080310013023"
"99",99,"080310014011"
"100",100,"080310014012"
"101",101,"080310014013"
"102",102,"080310014014"
"103",103,"080310014015"
"104",104,"080310014021"
"105",105,"080310014022"
"106",106,"080310014023"
"107",107,"080310014024"
"108",108,"080310014025"
"109",109,"080310014031"
"110",110,"080310014032"
"111",111,"080310014033"
"112",112,"080310014034"
"113",113,"080310015001"
"114",114,"080310015002"
"115",115,"080310015003"
"116",116,"080310015004"
"117",117,"080310016011"
"118",118,"080310016012"
"119",119,"080310016013"
"120",120,"080310016021"
"121",121,"080310016022"
"122",122,"080310016031"
"123",123,"080310016032"
"124",124,"080310016033"
"125",125,"080310016034"
"126",126,"080310016035"
"127",127,"080310017031"
"128",128,"080310017032"
"129",129,"080310017033"
"130",130,"080310017041"
"131",131,"080310017042"
"132",132,"080310017043"
"133",133,"080310017051"
"134",134,"080310017052"
"135",135,"080310017053"
"136",136,"080310017054"
"137",137,"080310017061"
"138",138,"080310017062"
"139",139,"080310017071"
"140",140,"080310017072"
"141",141,"080310018001"
"142",142,"080310018002"
"143",143,"080310018003"
"144",144,"080310019011"
"145",145,"080310019012"
"146",146,"080310019013"
"147",147,"080310020001"
"148",148,"080310020002"
"149",149,"080310020003"
"150",150,"080310021011"
"151",151,"080310021012"
"152",152,"080310021013"
"153",153,"080310021021"
"154",154,"080310021022"
"155",155,"080310021023"
"156",156,"080310021024"
"157",157,"080310023001"
"158",158,"080310023002"
"159",159,"080310023003"
"160",160,"080310024021"
"161",161,"080310024022"
"162",162,"080310024041"
"163",163,"080310024042"
"164",164,"080310024051"
"165",165,"080310024052"
"166",166,"080310024053"
"167",167,"080310026021"
"168",168,"080310026022"
"169",169,"080310026023"
"170",170,"080310026031"
"171",171,"080310026032"
"172",172,"080310026041"
"173",173,"080310026042"
"174",174,"080310027041"
"175",175,"080310027042"
"176",176,"080310027051"
"177",177,"080310027052"
"178",178,"080310027053"
"179",179,"080310027061"
"180",180,"080310027062"
"181",181,"080310027063"
"182",182,"080310027071"
"183",183,"080310027072"
"184",184,"080310027081"
"185",185,"080310027082"
"186",186,"080310027091"
"187",187,"080310027092"
"188",188,"080310028011"
"189",189,"080310028012"
"190",190,"080310028013"
"191",191,"080310028021"
"192",192,"080310028022"
"193",193,"080310028023"
"194",194,"080310028024"
"195",195,"080310028025"
"196",196,"080310028041"
"197",197,"080310028042"
"198",198,"080310028051"
"199",199,"080310028052"
"200",200,"080310029011"
"201",201,"080310029012"
"202",202,"080310029013"
"203",203,"080310029014"
"204",204,"080310029021"
"205",205,"080310029022"
"206",206,"080310029023"
"207",207,"080310030021"
"208",208,"080310030022"
"209",209,"080310030023"
"210",210,"080310030031"
"211",211,"080310030032"
"212",212,"080310030041"
"213",213,"080310030042"
"214",214,"080310030043"
"215",215,"080310030051"
"216",216,"080310030052"
"217",217,"080310030061"
"218",218,"080310030062"
"219",219,"080310030063"
"220",220,"080310031011"
"221",221,"080310031021"
"222",222,"080310031022"
"223",223,"080310031023"
"224",224,"080310031024"
"225",225,"080310032021"
"226",226,"080310032022"
"227",227,"080310032023"
"228",228,"080310032031"
"229",229,"080310032032"
"230",230,"080310032033"
"231",231,"080310032041"
"232",232,"080310032042"
"233",233,"080310032051"
"234",234,"080310032052"
"235",235,"080310032053"
"236",236,"080310033001"
"237",237,"080310033002"
"238",238,"080310033003"
"239",239,"080310033004"
"240",240,"080310034011"
"241",241,"080310034012"
"242",242,"080310034021"
"243",243,"080310034022"
"244",244,"080310034023"
"245",245,"080310034024"
"246",246,"080310035011"
"247",247,"080310035012"
"248",248,"080310035013"
"249",249,"080310035021"
"250",250,"080310035022"
"251",251,"080310036011"
"252",252,"080310036012"
"253",253,"080310036013"
"254",254,"080310036014"
"255",255,"080310036021"
"256",256,"080310036022"
"257",257,"080310036023"
"258",258,"080310036024"
"259",259,"080310036025"
"260",260,"080310036031"
"261",261,"080310036032"
"262",262,"080310036033"
"263",263,"080310036034"
"264",264,"080310036035"
"265",265,"080310037011"
"266",266,"080310037012"
"267",267,"080310037013"
"268",268,"080310037014"
"269",269,"080310037021"
"270",270,"080310037022"
"271",271,"080310037023"
"272",272,"080310037024"
"273",273,"080310037031"
"274",274,"080310037032"
"275",275,"080310038011"
"276",276,"080310038012"
"277",277,"080310038013"
"278",278,"080310038021"
"279",279,"080310038022"
"280",280,"080310038023"
"281",281,"080310039011"
"282",282,"080310039012"
"283",283,"080310039013"
"284",284,"080310039014"
"285",285,"080310039021"
"286",286,"080310039022"
"287",287,"080310039023"
"288",288,"080310040021"
"289",289,"080310040022"
"290",290,"080310040023"
"291",291,"080310040024"
"292",292,"080310040031"
"293",293,"080310040032"
"294",294,"080310040033"
"295",295,"080310040034"
"296",296,"080310040041"
"297",297,"080310040051"
"298",298,"080310040052"
"299",299,"080310040061"
"300",300,"080310040062"
"301",301,"080310040063"
"302",302,"080310040064"
"303",303,"080310041011"
"304",304,"080310041012"
"305",305,"080310041013"
"306",306,"080310041014"
"307",307,"080310041021"
"308",308,"080310041022"
"309",309,"080310041023"
"310",310,"080310041024"
"311",311,"080310041031"
"312",312,"080310041032"
"313",313,"080310041033"
"314",314,"080310041034"
"315",315,"080310041035"
"316",316,"080310041036"
"317",317,"080310041041"
"318",318,"080310041042"
"319",319,"080310041043"
"320",320,"080310041044"
"321",321,"080310041045"
"322",322,"080310041046"
"323",323,"080310041081"
"324",324,"080310041082"
"325",325,"080310041083"
"326",326,"080310041084"
"327",327,"080310041091"
"328",328,"080310041092"
"329",329,"080310041093"
"330",330,"080310041101"
"331",331,"080310041102"
"332",332,"080310041111"
"333",333,"080310041112"
"334",334,"080310041121"
"335",335,"080310041122"
"336",336,"080310041123"
"337",337,"080310041131"
"338",338,"080310042011"
"339",339,"080310042012"
"340",340,"080310042013"
"341",341,"080310042014"
"342",342,"080310042015"
"343",343,"080310042016"
"344",344,"080310042021"
"345",345,"080310042022"
"346",346,"080310042023"
"347",347,"080310042024"
"348",348,"080310042025"
"349",349,"080310043021"
"350",350,"080310043022"
"351",351,"080310043023"
"352",352,"080310043031"
"353",353,"080310043032"
"354",354,"080310043033"
"355",355,"080310043034"
"356",356,"080310043061"
"357",357,"080310043062"
"358",358,"080310043063"
"359",359,"080310043064"
"360",360,"080310043065"
"361",361,"080310043071"
"362",362,"080310043081"
"363",363,"080310043082"
"364",364,"080310043083"
"365",365,"080310043091"
"366",366,"080310043092"
"367",367,"080310043093"
"368",368,"080310043101"
"369",369,"080310043102"
"370",370,"080310044031"
"371",371,"080310044032"
"372",372,"080310044033"
"373",373,"080310044041"
"374",374,"080310044042"
"375",375,"080310044043"
"376",376,"080310044044"
"377",377,"080310044061"
"378",378,"080310044062"
"379",379,"080310044071"
"380",380,"080310044072"
"381",381,"080310044073"
"382",382,"080310045031"
"383",383,"080310045032"
"384",384,"080310045033"
"385",385,"080310045041"
"386",386,"080310045042"
"387",387,"080310045043"
"388",388,"080310045051"
"389",389,"080310045052"
"390",390,"080310045053"
"391",391,"080310045061"
"392",392,"080310045062"
"393",393,"080310045063"
"394",394,"080310046011"
"395",395,"080310046012"
"396",396,"080310046013"
"397",397,"080310046014"
"398",398,"080310046021"
"399",399,"080310046022"
"400",400,"080310046023"
"401",401,"080310046024"
"402",402,"080310046031"
"403",403,"080310046032"
"404",404,"080310046033"
"405",405,"080310046034"
"406",406,"080310046035"
"407",407,"080310047001"
"408",408,"080310047002"
"409",409,"080310047003"
"410",410,"080310047004"
"411",411,"080310047005"
"412",412,"080310047006"
"413",413,"080310048011"
"414",414,"080310048012"
"415",415,"080310048013"
"416",416,"080310050011"
"417",417,"080310050012"
"418",418,"080310050031"
"419",419,"080310050032"
"420",420,"080310050041"
"421",421,"080310050042"
"422",422,"080310050043"
"423",423,"080310051021"
"424",424,"080310051022"
"425",425,"080310051023"
"426",426,"080310051024"
"427",427,"080310051041"
"428",428,"080310051042"
"429",429,"080310052001"
"430",430,"080310052002"
"431",431,"080310052003"
"432",432,"080310052004"
"433",433,"080310053001"
"434",434,"080310055021"
"435",435,"080310055031"
"436",436,"080310055032"
"437",437,"080310055033"
"438",438,"080310055034"
"439",439,"080310067011"
"440",440,"080310067012"
"441",441,"080310067013"
"442",442,"080310068041"
"443",443,"080310068042"
"444",444,"080310068101"
"445",445,"080310068102"
"446",446,"080310068103"
"447",447,"080310068104"
"448",448,"080310068121"
"449",449,"080310068122"
"450",450,"080310068123"
"451",451,"080310068131"
"452",452,"080310068132"
"453",453,"080310068133"
"454",454,"080310068141"
"455",455,"080310068142"
"456",456,"080310068143"
"457",457,"080310068144"
"458",458,"080310068151"
"459",459,"080310068161"
"460",460,"080310068162"
"461",461,"080310068163"
"462",462,"080310068164"
"463",463,"080310068165"
"464",464,"080310068171"
"465",465,"080310068181"
"466",466,"080310068182"
"467",467,"080310068183"
"468",468,"080310068184"
"469",469,"080310068185"
"470",470,"080310069021"
"471",471,"080310069022"
"472",472,"080310069023"
"473",473,"080310069031"
"474",474,"080310069032"
"475",475,"080310070061"
"476",476,"080310070062"
"477",477,"080310070063"
"478",478,"080310070131"
"479",479,"080310070132"
"480",480,"080310070133"
"481",481,"080310070371"
"482",482,"080310070372"
"483",483,"080310070373"
"484",484,"080310070881"
"485",485,"080310070882"
"486",486,"080310070883"
"487",487,"080310070884"
"488",488,"080310070901"
"489",489,"080310070911"
"490",490,"080310070912"
"491",491,"080310070913"
"492",492,"080310070914"
"493",493,"080310083041"
"494",494,"080310083042"
"495",495,"080310083043"
"496",496,"080310083051"
"497",497,"080310083052"
"498",498,"080310083053"
"499",499,"080310083061"
"500",500,"080310083062"
"501",501,"080310083063"
"502",502,"080310083064"
"503",503,"080310083121"
"504",504,"080310083122"
"505",505,"080310083123"
"506",506,"080310083861"
"507",507,"080310083862"
"508",508,"080310083871"
"509",509,"080310083872"
"510",510,"080310083873"
"511",511,"080310083881"
"512",512,"080310083882"
"513",513,"080310083883"
"514",514,"080310083884"
"515",515,"080310083885"
"516",516,"080310083886"
"517",517,"080310083887"
"518",518,"080310083891"
"519",519,"080310083892"
"520",520,"080310083893"
"521",521,"080310083894"
"522",522,"080310083895"
"523",523,"080310083901"
"524",524,"080310083902"
"525",525,"080310083903"
"526",526,"080310083911"
"527",527,"080310083912"
"528",528,"080310083913"
"529",529,"080310083914"
"530",530,"080310119021"
"531",531,"080310119022"
"532",532,"080310119023"
"533",533,"080310119024"
"534",534,"080310119031"
"535",535,"080310119032"
"536",536,"080310120011"
"537",537,"080310120012"
"538",538,"080310120101"
"539",539,"080310120102"
"540",540,"080310120103"
"541",541,"080310120104"
"542",542,"080310120105"
"543",543,"080310120151"
"544",544,"080310120152"
"545",545,"080310120153"
"546",546,"080310120161"
"547",547,"080310120162"
"548",548,"080310153001"
"549",549,"080310153002"
"550",550,"080310153003"
"551",551,"080310154001"
"552",552,"080310154002"
"553",553,"080310154003"
"554",554,"080310154004"
"555",555,"080310154005"
"556",556,"080310155001"
"557",557,"080310155002"
"558",558,"080310155003"
"559",559,"080310155004"
"560",560,"080310156001"
"561",561,"080310156002"
"562",562,"080310156003"
"563",563,"080310156004"
"564",564,"080310157001"
"565",565,"080310157002"
"566",566,"080310157003"
"567",567,"080310157004"
"568",568,"080310158001"
"569",569,"080319800011"
"570",570,"080319801001"
"571",571,"080319802001"
